Bureau,Gender,Grade,Title,Name,YearsService
International Narcotics and Law Enforcement Affairs (INL),female,GS-11,Team Member,Lorinda Wells     ,23
Global Criminal Justice (GCJ),male,GS-10,Team Member,   Floyd Harris,6
Educational and Cultural Affairs (ECA),male,FS-9,Analyst,Mitchell Reynolds,16
Human Resources (DGHR),male,GS-7,Team Member,Sieving,24
East Asian and Pacific Affairs (EAP),female,FS-1,Manager,Joy Giddins,10
Conflict and Stabilization Operations (CSO),male,GS-10,Team Member,    William Bailey,8
International Organization Affairs (IO),male,N/A,Team Member,John Bandy,13
Medical Services (MED),female,FS-9,Team Member,Lourdes Gray,11
Executive Secretariat (S/ES),male,N/A,Team Member,    Richard Schaus,9
Protocol (S/CPR),male,N/A,Team Member,James Gebhart  ,5
Legal Adviser (L),female,FS-2,Manager,Swonger,18
Conflict and Stabilization Operations (CSO),female,GS-15,Manager,Katharine Dumbleton,1
Near Eastern Affairs (NEA),male,FS-3,Manager,   Brian Garcia  ,15
Director General of the Foreign Service and Director of Human Resources (DGHR),male,GS13,Manager,  Allen Gardner ,2
Energy Resources (ENR),female,N/A,Manager,Leona Anselmo  ,23
Policy Planning Staff (S/P),female,GS 8,Team Member,   Laura Hunter,17
Protocol (S/CPR),female,SFS-2,Executive,   Christian Mobley  ,18
Mission to the United Nations (USUN),male,GS7,Team Member, Eric Griffin,21
Foreign Missions (OFM),female,N/A,Team Member,  Kira Sedgwick,18
International Organization Affairs (IO),male,GS-13,Manager,Micheal Beck ,25
Global Women's Issues (S/GWI),female,SES-5,Executive,  Brittaney Walker,22
Energy Resources (ENR),female,FS-9,Team Member,Michelle Yaney,20
Comptroller and Global Financial Services (CGFS),female,FS-7,Team Member,Sebrina Pleasanton,7
Executive Secretariat (S/ES),female,FS-4,Team Member,Carla Trotman   ,3
Consular Affairs (CA),male,FS-9,Team Member,Iribarren     ,24
Diplomatic Security (DS),male,GS-12,Team Member,Richard Lambertson,12
Medical Services (MED),male,FS-6,Team Member,Jerald Pacheco,18
"Arms Control, Verification and Compliance (AVC)",female,FS4,Team Member,  Dawn Lawson,10
Mission to the United Nations (USUN),female,FS-8,Team Member,    Torrie Wood,23
Inspector General (OIG),male,N/A,Manager,Travis,7
Foreign Missions (OFM),male,GS-15,Manager, Billy Smith,7
Economic and Business Affairs (EB),female,FS 4,Team Member,Jessica Donovan,25
International Security and Nonproliferation (ISN),female,N/A,Manager,Savanna Bennett,11
Medical Services (MED),female,N/A,Team Member,Danielle Xaimoungkhoun,3
Allowances (A/OPR/ALS),female,FS-3,Manager,  Arlene Dubose,21
Global Youth Issues (GYI),female,FS-3,Manager,Danna Langhorne,13
"Democracy, Human Rights, and Labor (DRL)",male,N/A,Team Member,Ricky Rousseau,3
International Organization Affairs (IO),male,N/A,Manager,Manuel Brady,12
Oceans and International Environmental and Scientific Affairs(OES),female,N/A,Team Member,Katherine Strouse,15
Comptroller and Global Financial Services (CGFS),male,N/A,Team Member,  Peter Trippel,20
"Population, Refugees, and Migration (PRM)",female,FS-3,Manager,Nina Krings,21
Administration (A),male,N/A,Analyst,Tony Johnson,16
"Population, Refugees, and Migration (PRM)",female,FS-1,Manager,Megan Fazzino    ,11
Human Resources (DGHR),male,FS-7,Team Member,Daniel Rife,21
Mission to the United Nations (USUN),male,FS-7,Team Member,Robert Thomas     ,21
Budget and Planning (BP),male,N/A,Manager,Joseph Davis,24
Energy Resources (ENR),male,GS-11,Team Member,Robert Hacker,14
Inspector General (OIG),male,GS 13,Team Member,     Donald Hoffman,16
"Democracy, Human Rights, and Labor (DRL)",male,GS-7,Team Member,George Schuller    ,6
"Management Policy, Rightsizing and Innovation (PRI)",male,N/A,Team Member,Richard Moore ,12
Near Eastern Affairs (NEA),female,FS-7,Team Member,Vivian Anderson ,7
Diplomatic Security (DS),female,FS-8,Team Member,Lavada Bergesen  ,13
Conflict and Stabilization Operations (CSO),male,FS-1,Manager,Larry Johnson,20
Legislative Affairs (H),female,N/A,Manager,Doris Martinez    ,5
Budget and Planning (BP),female,GS-14,Manager,   Joan Daniels    ,21
Policy Planning Staff (S/P),male,GS-15,Mgmt,   Lewis Samuels   ,2
Protocol (S/CPR),female,FS-1,Manager,   Elizabeth Michel  ,17
Intelligence and Research (INR),female,FS-8,Team Member,  Debra Phillips  ,16
Educational and Cultural Affairs (ECA),female,N/A,Team Member,Victoria Bell,17
Energy Resources (ENR),male,GS-7,Team Member,   James Dobson,17
Global Youth Issues (GYI),female,FS-3,Manager,Martina Earley,11
Administration (A),female,FS-4,Team Member,Sheba Everett,9
Science & Technology Adviser (STAS),female,GS-7,Team Member,    Sharon Littlefield     ,20
Human Resources (DGHR),female,GS-12,Team Member,Marie Cunningham,4
Counterterrorism (CT),female,FS-9,Team Member, Laura Crutchfield  ,16
Economic and Business Affairs (EB),female,GS-13,Team Member,Carolyn Starzyk,12
African Affairs (AF),female,GS-8,Team Member,Brenda Lynch     ,21
"Democracy, Human Rights, and Labor (DRL)",female,N/A,Team Member,    Mary Allgood,1
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS-4,Team Member,Robert Forry  ,18
Legislative Affairs (H),female,N/A,Mgmt,Erika Anderson,10
International Narcotics and Law Enforcement Affairs (INL),female,FS-1,Manager,   Teresa Lecompte,16
International Organization Affairs (IO),female,FS-1,Manager,Pettry,11
Foreign Missions (OFM),male,FS-5,Team Member,Goldschmidt,18
International Security and Nonproliferation (ISN),female,GS-7,Team Member,Gloria York,14
Global Women's Issues (S/GWI),male,N/A,Manager,John Gonzalez,17
Science & Technology Adviser (STAS),male,N/A,Team Member,Michael Gonzales,14
Administration (A),female,N/A,Team Member,Jennifer Raygoza,12
International Security and Nonproliferation (ISN),male,N/A,Team Member,Patrick Cookman    ,4
Medical Services (MED),female,FS-2,Mgmt,Jean Goodwin   ,23
Political-Military Affairs (PM),female,GS-7,Team Member,Judith Nelson,20
Allowances (A/OPR/ALS),female,FS-8,Team Member,Erica Olney,1
Near Eastern Affairs (NEA),male,N/A,Manager,    John Hynes,1
Protocol (S/CPR),female,N/A,Manager,Hazel Dolan  ,21
"Population, Refugees, and Migration (PRM)",female,FS-1,Manager,Edna Bouchard,17
International Information Programs (IIP),male,GS-11,Team Member,Michael Guadalupe,24
Mission to the United Nations (USUN),female,GS-9,Analyst,Beth Walter  ,11
Counterterrorism (CT),female,GS-7,Team Member,Jessica Lenior     ,24
Conflict and Stabilization Operations (CSO),female,FS-1,Manager,  Lundholm ,24
Legislative Affairs (H),male,FS-3,Manager,     John Cerverizzo,6
Policy Planning Staff (S/P),female,FS-3,Manager,    Jonnie Warner    ,2
Protocol (S/CPR),male,FS-5,Team Member,  John Fortier,5
Protocol (S/CPR),male,GS-15,Manager,Edward Gilbert   ,5
Consular Affairs (CA),male,FS-6,Team Member,Marvin Hogan,9
Energy Resources (ENR),male,FS 6,Team Member,James Durham,23
"Democracy, Human Rights, and Labor (DRL)",female,GS-10,Team Member,   Cothran,24
"Democracy, Human Rights, and Labor (DRL)",female,N/A,Team Member,Gina Luther   ,10
Mission to the United Nations (USUN),male,FS-9,Team Member,David Flores,21
Chief Information Officer (CIO),female,FS-2,Manager,Madge Fannin,14
Policy Planning Staff (S/P),female,N/A,Team Member,Regina Cox,23
Counterterrorism (CT),male,FS-7,Team Member,Thiel,6
Diplomatic Security (DS),male,GS-7,Team Member,Leslie Moore,24
Director General of the Foreign Service and Director of Human Resources (DGHR),female,GS-14,Manager,   Chelsea Davis,24
Educational and Cultural Affairs (ECA),female,GS8,Team Member,Betty Stafford,21
Political-Military Affairs (PM),male,GS-13,Team Member,Luther Carter,19
Legislative Affairs (H),male,FS4,Team Member,Richard Howell,2
Energy Resources (ENR),male,FS-3,Manager,Mark Mangham ,10
Oceans and International Environmental and Scientific Affairs(OES),male,FS-4,Team Member,     Lucas Hetrick,17
Overseas Buildings Operations (OBO),female,FS-8,Analyst, Doris Murray,20
Administration (A),female,FS 1,Manager,Jacqueline Wood    ,21
Diplomatic Security (DS),male,FS-4,Team Member,Brian Romiro,12
Economic and Business Affairs (EB),female,FS-3,Manager,Gloria Cosme,21
Medical Services (MED),male,N/A,Manager,Francisco Brown,23
African Affairs (AF),female,N/A,Team Member,Sandra Tietjen    ,15
Protocol (S/CPR),male,GS-7,Team Member,William Shaffer,22
Oceans and International Environmental and Scientific Affairs(OES),male,FS-2,Manager,     James Wendt,5
Human Resources (DGHR),male,FS-7,Team Member,     John Gillespie,20
Administration (A),female,GS-12,Team Member,  Sharon     ,1
Energy Resources (ENR),male,GS-13,Manager,Cecil Reasner,25
Oceans and International Environmental and Scientific Affairs(OES),female,GS-9,Team Member,Virginia Ashby,21
International Information Programs (IIP),female,GS-8,Team Member,Charles Plotkin,20
Conflict and Stabilization Operations (CSO),female,GS-13,Team Member,Loretta Garcia,1
Information Resource Management (IRM),female,FS-5,Analyst,   Fannie Wenger,12
Legislative Affairs (H),female,GS15,Manager,     Whitney Beltran,23
International Organization Affairs (IO),female,GS13,Manager,     Rose Riggins     ,17
Mission to the United Nations (USUN),female,FS-3,Manager,Carol Berkley,24
Director General of the Foreign Service and Director of Human Resources (DGHR),female,FS-8,Team Member,Kathleen Stevens  ,24
Legislative Affairs (H),female,GS 15,Manager,Donna Krampitz,8
Consular Affairs (CA),male,FS-8,Team Member,Jessie Christensen,13
Chief Information Officer (CIO),male,N/A,Team Member,White,3
Medical Services (MED),female,N/A,Team Member,Sandra Himenez,11
Foreign Assistance (F),male,N/A,Manager,     Gabriel Adams,25
Global Youth Issues (GYI),male,N/A,Manager,  Paul Lee,6
Administration (A),male,GS12,Team Member,Roy Sims,15
Protocol (S/CPR),female,SFS-3,Executive,Flynn,23
Administration (A),female,FS-9,Team Member,  Valerie Torres,7
Inspector General (OIG),female,FS-6,Team Member,    Amber Gutoski,12
Inspector General (OIG),female,GS-9,Analyst,Linda Kennedy ,14
East Asian and Pacific Affairs (EAP),male,FS-9,Team Member,     Jeffrey Tamborlane,17
East Asian and Pacific Affairs (EAP),female,N/A,Manager,Delores Thornton,20
"Democracy, Human Rights, and Labor (DRL)",male,FS-8,Team Member,Randy Garcia,19
Human Resources (DGHR),male,N/A,Manager,Michael Norwood ,25
Global Criminal Justice (GCJ),male,FS 1,Manager,     Ted Shreffler     ,3
African Affairs (AF),female,FS 5,Team Member, Karen Williams,13
Counterterrorism (CT),male,FS 8,Team Member,William Dolejsi     ,20
Inspector General (OIG),female,FS-9,Team Member,Lisbeth Bond,10
"Democracy, Human Rights, and Labor (DRL)",female,FS-8,Team Member,    Janet Alcorn,17
Human Resources (DGHR),male,FS9,Team Member,Mark Tarone ,10
Legal Adviser (L),female,FS-1,Manager,    Linda Hargrove,4
Administration (A),female,N/A,Manager, Rhonda Shiffer,16
Energy Resources (ENR),female,GS14,Manager,     Hang     ,25
Administration (A),female,GS-7,Team Member,Erin Moulding,24
Conflict and Stabilization Operations (CSO),male,FS-5,Team Member,  Wiley,7
Energy Resources (ENR),female,GS-13,Team Member, Shannon Grant,22
Chief Information Officer (CIO),female,N/A,Manager,Debra Lennon,7
Medical Services (MED),female,FS-4,Team Member, Diane Bickel,2
Oceans and International Environmental and Scientific Affairs(OES),male,GS-7,Team Member,Ike Lugo,15
European and Eurasian Affairs (EUR),male,N/A,Team Member,    Anthony Gutierrez,3
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS3,Manager,     John Kropp,23
Legislative Affairs (H),female,N/A,Team Member,Amanda Sylvester,5
"Arms Control, Verification and Compliance (AVC)",male,N/A,Team Member,Dennis White ,21
Foreign Missions (OFM),female,FS-8,Team Member,Tracy Lee,17
International Organization Affairs (IO),male,GS9,Team Member,John Doyle     ,20
Oceans and International Environmental and Scientific Affairs(OES),male,FS-2,Manager,Steven Semmes ,23
Global Youth Issues (GYI),male,N/A,Team Member,Steve Thompson,14
Mission to the United Nations (USUN),female,N/A,Manager,Melinda Strother,7
Administration (A),female,N/A,Manager,Weeks,12
Global Women's Issues (S/GWI),male,N/A,Manager,Richard Meginnes ,1
Director General of the Foreign Service and Director of Human Resources (DGHR),male,GS-13,Mgmt,Alexander Rupert,24
"Democracy, Human Rights, and Labor (DRL)",male,GS 8,Team Member,David Connel,7
Global Youth Issues (GYI),female,FS-8,Team Member,Angie Zehender  ,23
Counterterrorism (CT),female,GS-11,Team Member,Josie Sharpe,5
Intelligence and Research (INR),male,FS-7,Team Member,     Frank Price,18
Human Resources (DGHR),female,FS-6,Team Member,Nancy Temme     ,9
East Asian and Pacific Affairs (EAP),female,FS7,Team Member,Mollie Braddy ,12
Chief Information Officer (CIO),male,FS-6,Team Member,    Dane Kissler   ,7
Educational and Cultural Affairs (ECA),female,N/A,Manager,Victoria Goode,22
East Asian and Pacific Affairs (EAP),female,GS-14,Manager,Charlotte Benjamen,16
Educational and Cultural Affairs (ECA),male,N/A,Team Member,Nicholas Jordan     ,20
Inspector General (OIG),female,N/A,Team Member,Stacy Hogan,5
South and Central Asian Affairs (SCA),female,FS-1,Manager,     Rhonda Ford,8
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",female,N/A,Mgmt,Dessie Jensen  ,3
Economic and Business Affairs (EB),male,N/A,Team Member,Warren Berg,7
Economic and Business Affairs (EB),male,SFS-3,Executive,Leon Rynders  ,22
Budget and Planning (BP),female,FS-7,Team Member,Pamela Parker ,16
Director General of the Foreign Service and Director of Human Resources (DGHR),female,GS13,Manager,Myrtle Knapp,5
Foreign Missions (OFM),female,FS-1,Manager,    Katie Brinson,18
Administration (A),female,FS-1,Manager,Judi Jeune,24
Human Resources (DGHR),female,N/A,Team Member,Susan Hill,14
Intelligence and Research (INR),male,N/A,Team Member,Micheal Lim    ,7
Foreign Missions (OFM),female,FS-2,Manager,Pamela Nord     ,1
International Organization Affairs (IO),male,FS1,Manager,John Williams  ,13
Foreign Missions (OFM),male,FS4,Team Member,Roman,25
Energy Resources (ENR),female,SFS-5,Executive,    Willie Dalton,19
Public Affairs (PA),female,FS-2,Manager,     Mathews   ,7
Educational and Cultural Affairs (ECA),female,FS-6,Team Member,Linda Mccain,16
Science & Technology Adviser (STAS),male,GS-13,Manager,David Miller    ,14
Inspector General (OIG),female,N/A,Team Member,Carolyn Walker,19
Executive Secretariat (S/ES),male,FS-2,Manager,Michael Bearman,16
Chief Information Officer (CIO),female,FS-5,Team Member,Geraldine Woods,13
International Organization Affairs (IO),female,GS-9,Team Member,Shannon Byers,18
Political-Military Affairs (PM),female,GS10,Team Member,Adrian Gehringer,22
Administration (A),male,FS4,Team Member,Troy Clemons ,11
Protocol (S/CPR),male,GS-14,Manager,Daniel Overton    ,23
Medical Services (MED),male,FS-6,Team Member, Gary Williams,13
Foreign Service Institute (FSI),female,FS-1,Manager,Betty Anderson,18
Energy Resources (ENR),male,FS 4,Analyst,  Fred Lambert,2
Human Resources (DGHR),male,GS-8,Analyst,Glenn Espericueta,2
Trafficking in Persons (TIP),male,FS 5,Team Member,  Luis Harris,14
Foreign Missions (OFM),male,GS-7,Team Member,Kyle Erdmann,4
Global Women's Issues (S/GWI),male,N/A,Manager,Scott Carnagey,23
Economic and Business Affairs (EB),female,FS-4,Team Member,    Kimberly Trantham,2
Global Youth Issues (GYI),female,GS-15,Manager,Valerie Jones,20
Executive Secretariat (S/ES),female,FS 7,Team Member,Elouise Harrison    ,6
Comptroller and Global Financial Services (CGFS),female,FS-8,Team Member,Rebecca Bullard,13
Foreign Missions (OFM),female,FS-7,Team Member,     Mary Brown,13
Protocol (S/CPR),male,FS2,Manager,Carlos Miles,11
Near Eastern Affairs (NEA),male,GS-8,Team Member,Hector Putnam,5
Chief Information Officer (CIO),female,FS-3,Manager,Judith Redmon,20
"Democracy, Human Rights, and Labor (DRL)",male,FS-8,Team Member,Oneill,25
Information Resource Management (IRM),female,SFS5,Executive,Fischer,23
Political-Military Affairs (PM),female,GS-8,Team Member,Rose Wueste,9
Foreign Missions (OFM),female,GS13,Manager, Johnson,10
Intelligence and Research (INR),female,N/A,Manager,Alexandria Bramble  ,12
Oceans and International Environmental and Scientific Affairs(OES),female,GS-11,Team Member,Lucille Dempsey,21
Protocol (S/CPR),male,SFS-4,Executive,Steven Schartz     ,25
Intelligence and Research (INR),male,FS 7,Team Member,     William Senz,5
Conflict and Stabilization Operations (CSO),male,SFS2,Executive,Thomas Mainor,20
Allowances (A/OPR/ALS),female,FS-6,Team Member,     Barrett,11
Medical Services (MED),female,GS-10,Team Member,     Clara Blue,14
East Asian and Pacific Affairs (EAP),male,N/A,Manager, Brett Ware,16
Conflict and Stabilization Operations (CSO),male,GS-10,Team Member,Greg Damewood,8
Counterterrorism (CT),male,FS-3,Manager,   William Alvarez,17
Science & Technology Adviser (STAS),female,FS-2,Manager,Eva Warren,20
International Organization Affairs (IO),female,N/A,Manager,   Kimberly Thorp,4
Oceans and International Environmental and Scientific Affairs(OES),male,N/A,Team Member,Robert Perkins,14
Trafficking in Persons (TIP),female,FS-5,Team Member,Jamie Wise,6
Trafficking in Persons (TIP),male,FS-1,Manager,Jeffrey Barredo    ,11
Protocol (S/CPR),female,FS-2,Manager, Callie Feder     ,4
Legislative Affairs (H),female,N/A,Team Member,    Wynn,11
Foreign Missions (OFM),female,FS-2,Manager,Billie Edgar,23
Consular Affairs (CA),male,GS 10,Team Member,Julius Prince,23
Legislative Affairs (H),female,GS-14,Manager,  Lisa Namdar    ,5
Economic and Business Affairs (EB),male,FS-3,Manager,Maurice Gilmore    ,1
Inspector General (OIG),male,GS-13,Team Member,    Bish   ,5
Oceans and International Environmental and Scientific Affairs(OES),male,FS-3,Manager,Victor Weber,5
Comptroller and Global Financial Services (CGFS),female,GS-14,Manager,Laura Mcgriff,3
Medical Services (MED),male,GS-13,Manager,   Antonio Tyler,14
Medical Services (MED),male,N/A,Team Member, Muse,9
International Information Programs (IIP),male,N/A,Team Member,Joseph Arnold,7
East Asian and Pacific Affairs (EAP),male,GS-13,Manager,Francis Johnson,10
Political-Military Affairs (PM),female,FS-9,Team Member,Christie Bailey,13
Policy Planning Staff (S/P),female,FS-5,Team Member, Valerie Snover,22
East Asian and Pacific Affairs (EAP),female,N/A,Manager,   Erika Schaefer    ,12
"Management Policy, Rightsizing and Innovation (PRI)",male,N/A,Team Member,Raymond Alexander,21
International Security and Nonproliferation (ISN),female,FS-7,Analyst,Diane Huffines,14
East Asian and Pacific Affairs (EAP),male,FS-6,Team Member,Charles Baker,13
Oceans and International Environmental and Scientific Affairs(OES),male,GS-12,Team Member,Douglas Plack   ,3
Science & Technology Adviser (STAS),male,GS-10,Team Member,Kenneth Oliver,16
Policy Planning Staff (S/P),female,GS-14,Mgmt,Carroll Dyer,1
Legislative Affairs (H),female,FS-9,Team Member,     Jones,14
Oceans and International Environmental and Scientific Affairs(OES),male,FS-4,Team Member,  Elliott Grosbier,16
Human Resources (DGHR),female,FS-8,Team Member,Dolores Soto  ,7
Administration (A),male,FS-6,Team Member,Richard Tabor,4
Overseas Buildings Operations (OBO),male,GS-12,Team Member,Carl Bush,10
Global Youth Issues (GYI),male,N/A,Mgmt,   Bobby Sellers  ,15
Foreign Assistance (F),female,N/A,Manager,Consuelo Merrick,7
Administration (A),male,GS-9,Team Member,Eric Cook,20
Global Youth Issues (GYI),male,SFS 3,Executive,  Andrew Carr    ,24
Global AIDS Coordinator (S/GAC),female,FS 2,Manager,   Julie Long,18
Director General of the Foreign Service and Director of Human Resources (DGHR),female,N/A,Manager,    Elizabeth Bradbury,17
Science & Technology Adviser (STAS),female,FS-2,Manager,Tina Johnson,4
Oceans and International Environmental and Scientific Affairs(OES),male,GS-13,Manager,   Edward Sheppard  ,1
Mission to the United Nations (USUN),female,GS 9,Team Member,   Betty Ecklund,25
Executive Secretariat (S/ES),male,FS-2,Manager,Vincent Simm,22
Human Resources (DGHR),female,FS 8,Team Member,Ora Young,7
Educational and Cultural Affairs (ECA),male,FS-5,Team Member,    Gary Butts  ,10
Administration (A),male,GS-10,Team Member,Roberto Lenox,11
Conflict and Stabilization Operations (CSO),male,GS-8,Team Member,William Cornell,4
Administration (A),male,GS-7,Team Member,Carlos Jarrell,1
East Asian and Pacific Affairs (EAP),male,GS-10,Team Member,    Earl Boyce,4
"Population, Refugees, and Migration (PRM)",male,GS-11,Team Member,Robert Shackleford,16
Foreign Missions (OFM),male,FS-9,Team Member, Robert Alnutt     ,21
"Democracy, Human Rights, and Labor (DRL)",female,GS-10,Analyst,Eugenia Sabad,22
Oceans and International Environmental and Scientific Affairs(OES),female,GS-13,Manager,  Elizabeth Lafrance,22
International Narcotics and Law Enforcement Affairs (INL),male,SFS-3,Executive,   Joseph Barr,19
Mission to the United Nations (USUN),female,FS-2,Manager,Linda Pittman,12
"Democracy, Human Rights, and Labor (DRL)",female,FS-8,Team Member,Elizabeth Struble,23
Consular Affairs (CA),female,FS5,Team Member, Margaret Joseph,20
Foreign Missions (OFM),male,SFS-4,Executive,Steven Darling  ,20
Conflict and Stabilization Operations (CSO),female,N/A,Team Member,    Leslie Petrowski     ,22
Mission to the United Nations (USUN),male,N/A,Team Member,Richard Brumfield,11
Foreign Missions (OFM),female,FS-3,Manager,    Cecilia Coates,10
Allowances (A/OPR/ALS),female,FS-6,Team Member,Teresa Keith,13
Diplomatic Security (DS),female,N/A,Team Member,Anne Williams     ,22
Mission to the United Nations (USUN),male,FS-3,Manager,    Tyrone Turner,15
International Security and Nonproliferation (ISN),male,FS-2,Manager,Forest Robarge,24
Foreign Missions (OFM),female,FS-4,Team Member,Guadalupe Evans,1
Administration (A),male,FS-7,Team Member,William Osofsky,4
Mission to the United Nations (USUN),female,FS-9,Team Member,Monica Romero,13
Educational and Cultural Affairs (ECA),female,N/A,Mgmt,Valentine,11
Budget and Planning (BP),male,FS-9,Team Member,Michael Pruitt,1
Oceans and International Environmental and Scientific Affairs(OES),male,GS-14,Manager, Metelus ,2
Legislative Affairs (H),female,SES-1,Executive,Rosemary Read,20
Mission to the United Nations (USUN),female,N/A,Team Member,   Gloria Carter,2
Medical Services (MED),male,GS9,Team Member,  Lamar Davis,2
Trafficking in Persons (TIP),male,FS-3,Manager,Casey Cianciola     ,2
Conflict and Stabilization Operations (CSO),male,FS9,Team Member,Daniel Harper,1
Policy Planning Staff (S/P),female,SES-2,Executive,Lynette Giller,18
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",male,GS-15,Manager,  Wallace,11
Oceans and International Environmental and Scientific Affairs(OES),male,N/A,Manager,Joshua Brown,11
Policy Planning Staff (S/P),male,N/A,Manager, Mack Mitchell,4
Science & Technology Adviser (STAS),female,FS-3,Manager,Jamie Love,9
International Security and Nonproliferation (ISN),male,GS-15,Manager,     George Deal,5
Counterterrorism (CT),female,FS4,Analyst,   Erika Messer    ,21
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",male,FS-8,Team Member,  Hamm,4
African Affairs (AF),male,GS-13,Team Member,Quinton Olsen,19
Global Youth Issues (GYI),male,FS-9,Team Member,  Church,23
Global Youth Issues (GYI),female,FS-8,Team Member,Applebee    ,6
Director General of the Foreign Service and Director of Human Resources (DGHR),female,FS-3,Manager,Emma Kuhl     ,4
Conflict and Stabilization Operations (CSO),female,N/A,Team Member,Rosa Draper,24
Trafficking in Persons (TIP),female,FS-9,Team Member,Debra Goodsite,6
Administration (A),female,GS-11,Team Member,Micaela Kolasinski,2
Executive Secretariat (S/ES),female,FS-9,Team Member,Rebecca Lucio,11
Trafficking in Persons (TIP),male,FS-3,Manager,Melvin Barksdale ,11
"Democracy, Human Rights, and Labor (DRL)",female,FS-2,Mgmt,   Pamela Jones,11
Counterterrorism (CT),male,FS-8,Team Member,Scott Rubinson,24
Global Youth Issues (GYI),female,FS-3,Manager,Paula Holt    ,20
Foreign Missions (OFM),female,N/A,Team Member,Betty Rose,3
Energy Resources (ENR),female,FS-3,Manager,Serrata,17
Human Resources (DGHR),female,GS10,Team Member,   Lori Amorin,6
Consular Affairs (CA),male,FS-5,Team Member,Anthony Rhodes,11
Administration (A),male,FS-4,Team Member,   John Leblanc,19
Administration (A),male,FS-4,Team Member,  Douglas Edwards,16
Quadrennial Diplomacy and Development Review (QDDR),male,N/A,Team Member,Roy Costa   ,10
International Information Programs (IIP),male,FS-9,Team Member,Jerry Wyatt    ,12
Legal Adviser (L),female,N/A,Manager,Olivia Semple   ,2
Human Resources (DGHR),male,GS-9,Team Member,Charles Gaither  ,23
Diplomatic Security (DS),female,N/A,Team Member,Kimberly Slagle,22
Chief Information Officer (CIO),female,FS-6,Team Member,   Mary Stamm,19
Oceans and International Environmental and Scientific Affairs(OES),male,FS-7,Team Member,Stephen Taylor ,15
European and Eurasian Affairs (EUR),male,GS-14,Manager,Brett Wright,1
Energy Resources (ENR),female,FS-2,Manager,   Dorothy Sanchez    ,7
Intelligence and Research (INR),female,FS-5,Team Member,Eve Miller,25
Information Resource Management (IRM),male,FS-7,Team Member,   Thomas Pittman   ,2
Executive Secretariat (S/ES),male,FS 9,Team Member,   Joe Gilbert,19
Executive Secretariat (S/ES),female,GS15,Manager,    Doris Labay     ,19
Oceans and International Environmental and Scientific Affairs(OES),male,FS-4,Analyst,Ryan Johnson,23
Chief Information Officer (CIO),male,GS-12,Team Member,  Gilfillan     ,22
Global Youth Issues (GYI),male,SES 1,Executive,Harvey Hahn,23
Budget and Planning (BP),female,FS-2,Manager,Emma Wolf,3
Director General of the Foreign Service and Director of Human Resources (DGHR),male,N/A,Manager,Edward Scott    ,5
Economic and Business Affairs (EB),female,GS-15,Manager,    Holly Krul,16
