Bureau,Gender,Grade,Name,Skills,YearsService
Global AIDS Coordinator (S/GAC),female,GS-12,Judy Washington,,17
Science & Technology Adviser (STAS),male,N/A,Mark Bolden,Engineering,21
Diplomatic Security (DS),female,FS-4,Mable Esquivez,"climatology, Interagency, Web Development, Hydrology",5
Executive Secretariat (S/ES),male,FS-2,Lowell Sears,"Cloud Computing, Chinese, Network Security, it, Data Analysis, Management",12
Global Youth Issues (GYI),male,FS-2,Howard Cagle,,18
Intelligence and Research (INR),male,N/A,Kenneth Hankins,"Budget, Excel",15
Executive Secretariat (S/ES),female,FS-6,     Mildred Garrido     ,"Editing, Climatology, Leadership, Healthcare, research, seo, Marketing",15
Comptroller and Global Financial Services (CGFS),female,FS-5,Jennifer Arce,"chinese, Japanese, finance, Web Development, Foreign Policy, Excel, Email, IT, Visualization, SEO",6
Chief Information Officer (CIO),male,FS-1, Timothy Rhoden,"Healthcare, Planning, Sharepoint, disease response, economics, French",4
Counterterrorism (CT),female,GS-7,Susan Adams,IT,1
Consular Affairs (CA),male,N/A,     Steven Albury,"Chinese, Planning, Operations, Design, Interagency",4
Near Eastern Affairs (NEA),female,GS-10,Sherri Zalewski,"IT, Spanish, Excel, Editing, Disaster Response, Communications, Planning, Training, data analysis, graphics, Writing, design",8
Global Youth Issues (GYI),male,SFS-1,Robert Kim   ,"sharepoint, Tourism, Healthcare, Engineering, IT, Excel, japanese, Spanish, Education, Chinese",21
Executive Secretariat (S/ES),female,SES-5,Sandy Hutchison,"Marketing, Design, Social Media, Network Security, Email, planning, government, Finance, healthcare, Research, Chinese, Economics",19
Educational and Cultural Affairs (ECA),female,FS-2,   Sheila Cleaver,"Budget, IT, seo, Foreign Policy, Training, French, education, Administration, Hydrology, Design",8
"Management Policy, Rightsizing and Innovation (PRI)",female,FS-5,Desiree Woodard     ,"Design, IT, research, SEO, Data Analysis",17
"Population, Refugees, and Migration (PRM)",male,GS-9,Donald Smith     ,"Disease Response, budget",13
Policy Planning Staff (S/P),female,GS-14,Claire Shoffner    ,"outlook, it, spanish, Human Resources, web development, Marketing, Visualization, Data Analysis, Writing, Climatology",18
Public Affairs (PA),male,GS-10,Bonardi,"interagency, German, leadership, Tourism, Chinese, Spanish, Writing, network security",7
Counterterrorism (CT),female,FS-1,Carrillo,"Leadership, Network Security, Writing, Design, graphics",4
Public Affairs (PA),female,GS-8,Heather Beck,"German, Disease Response, Outlook, Human Resources, Communications, Japanese, Disaster Response, Design, Engineering, graphics, Portuguese",7
Information Resource Management (IRM),male,N/A,    James Montanez,"Writing, engineering, Japanese, Powerpoint, Administration, Data Analysis",10
Policy Planning Staff (S/P),male,FS-4,     Terry Lewis,Social Media,15
International Security and Nonproliferation (ISN),male,FS 6,Matthew Dower     ,"Operations, French, Sharepoint, Foreign Policy, government, japanese, Data Analysis, graphics, web development, Leadership, Training",20
East Asian and Pacific Affairs (EAP),female,SFS-4, Nancy Joeckel,"chinese, climatology, french, operations, planning, Excel, hydrology, Leadership, German",19
Oceans and International Environmental and Scientific Affairs(OES),male,FS 3,   Scott Gaudette,"network security, Design, Foreign Policy, Web Development, education, Climatology",7
African Affairs (AF),female,FS-6,Sue Mcguire    ,"Interagency, Planning, French, Disease Response, Hydrology, Outlook",1
International Organization Affairs (IO),female,FS-5,Catherine Williams,"Human Resources, Social Media, Foreign Policy, german, Excel, Management, Disaster Response, Design, Education, Operations, Powerpoint",22
"Management Policy, Rightsizing and Innovation (PRI)",female,GS14,Elizabeth Nott    ,"Writing, Engineering",4
Foreign Missions (OFM),female,FS-7,Shari Calderon,"Chinese, Research, Email, Visualization",19
"Arms Control, Verification and Compliance (AVC)",male,FS-1,Kyle Lewis,"marketing, Climatology, human resources",1
Inspector General (OIG),female,N/A,Sarah Harmon,"Design, Interagency",3
Foreign Service Institute (FSI),male,FS4,Mack Wells,"Economics, Portuguese, Research, Network Security, sharepoint",13
Foreign Missions (OFM),female,GS-15,     Blanca Obregon     ,"IT, Planning, Excel, japanese, engineering, Research, network security",14
Global Youth Issues (GYI),male,GS-14,Santos Faulkner  ,"Portuguese, healthcare, Spanish",17
Chief Information Officer (CIO),male,N/A, Trujillo     ,"disease response, Email, Leadership, Marketing, Excel, Disaster Response, Tourism, Portuguese, design, Japanese, data analysis",5
Budget and Planning (BP),female,GS-14,Marie Mcclintock,"Writing, Cloud Computing, Finance, Foreign Policy, Planning",19
Public Affairs (PA),female,FS-8,  Barbara Branch,"Engineering, Hydrology, email, seo, Budget",3
Educational and Cultural Affairs (ECA),female,FS-5,Eddie Edgerly    ,"IT, human resources, Graphics, Management, Interagency, German, Marketing, Healthcare, government, Leadership",14
Energy Resources (ENR),female,N/A,Wanda Matthey,"Disaster Response, Healthcare, seo, Finance, Spanish, Government, Economics, Engineering",3
Science & Technology Adviser (STAS),female,GS-7,Mittie Gregory,Government,19
Foreign Assistance (F),female,N/A,Nancy Sandage,"Tourism, SEO, Sharepoint, Spanish, Outlook, Excel, Email, Marketing",21
Allowances (A/OPR/ALS),male,N/A,Kent Pruitt,"outlook, powerpoint, Disease Response, Government, Disaster Response, Portuguese, research, communications, Data Analysis",9
Global Youth Issues (GYI),male,GS-12,Ferris     ,"Social Media, Cloud Computing, German, operations, web development, Email, Research, spanish, disaster response, IT",23
African Affairs (AF),female,FS-3,Maude Knight,"writing, budget, Sharepoint, Tourism, climatology, Foreign Policy, French, Healthcare, IT, Network Security, Social Media",22
International Organization Affairs (IO),male,FS-3,    Rivera,"Chinese, Network Security, Graphics, Engineering, Disease Response, Excel, Government, Training, Operations",20
Information Resource Management (IRM),female,GS-11,Miles,"operations, Communications, Cloud Computing, IT, Disaster Response, Web Development, Graphics, Data Analysis, seo",7
Conflict and Stabilization Operations (CSO),female,GS11,Sarah Dretzka,"Sharepoint, Email, Government, Finance, human resources, Design, Tourism, Research, Interagency, IT",18
International Security and Nonproliferation (ISN),male,SFS-4, Jorge Robinson,,22
Quadrennial Diplomacy and Development Review (QDDR),female,N/A,Rochelle Ryan,"healthcare, Management, German, Writing, Climatology, Powerpoint",4
Political-Military Affairs (PM),male,GS-9, Scott Kuhn    ,"Sharepoint, Research, Training, Disaster Response, finance, visualization, Government, Education, Web Development, Engineering",13
Counterterrorism (CT),female,SES-5,     Emily Wheeler,"Foreign Policy, Powerpoint, finance, Budget, web development, Human Resources, Hydrology, Disaster Response",22
International Organization Affairs (IO),male,GS-9,William Saltzman,"Interagency, Engineering",13
Science & Technology Adviser (STAS),female,N/A, Susan Colbert,,17
South and Central Asian Affairs (SCA),female,FS-4,     Diane Owen,"Marketing, Chinese, Portuguese, Design, Foreign Policy, Healthcare, spanish, email, Finance",21
Mission to the United Nations (USUN),male,FS 2,   Lester Woodard,"chinese, climatology, Budget, Email, foreign policy, education, Management, SEO, French, Marketing",18
Diplomatic Security (DS),female,FS-7,    Melba Brown,"graphics, Operations, Disease Response, Foreign Policy, Communications, Powerpoint, Climatology, Social Media, Japanese, management, Visualization",22
Near Eastern Affairs (NEA),male,FS-3,Simon ,"japanese, Communications, Research, tourism, powerpoint, disease response, Climatology, Government, Data Analysis, Outlook, Marketing",5
Global Engagement Center(GEC),female,FS7,Rosa Alier ,"Japanese, engineering, Finance, Communications, Graphics",21
Budget and Planning (BP),female,FS-4,Juanita Hall,"German, Climatology, it, Administration",7
Consular Affairs (CA),male,GS 8,Floyd Summerlin     ,hydrology,22
