Bureau,Type,Name,Emails Sent
SCA,FS,Lucy Matos,108730
F,CS,Mary Mumm,2468
PRM,FS,Ann Cavazos,2464
OES,CS,Fredric Riebel,539
FSI,Contractor,Joe Schmitt,2180
QDDR,FS,Gina Holmes,2909
ENR,CS,Susan Jones,1568
PRM,Contractor,Rueben Penderel,2012
S/P,FS,Bernadine Brafman,199
S/GAC,CS,Jennifer Beckman,9590
OBO,Contractor,Pamela Winters,3398
A/OPR/ALS,Contractor,John Fisher,5959
BP,CS,Johnny Goodell,1254
H,CS,Kimberly Curry,3874
A/OPR/ALS,Contractor,Mattie Allen,8013
H,Contractor,Christopher White,4491
IIP,Contractor,Helen Fagen,1127
S/GAC,Contractor,Kristy Garcia,7969
ECA,Contractor,Susan Xayasith,6426
ECA,Contractor,Thelma Obryant,6656
DS,CS,Ernie Wisdom,1188
SCA,Contractor,Myron Andrews,5251
QDDR,FS,Kristine Villegas,1716
A,Contractor,Roberta Arnold,5218
STAS,CS,Nettie Willis,6345
S/ES,FS,Dorothy Paz,774
CIO,Contractor,Debbie Meldrum,4703
IO,FS,Steve Huerta,4637
ISN,CS,Cora Curtis,4485
IRM,CS,Joan Mcqueen,2015
GEC,CS,Thomas Cabler,732
S/P,Contractor,Annette Wood,4518
PA,Contractor,Ruby Schroeder,8788
IO,Contractor,Nicola Cox,1224
S/GAC,CS,William Paris,9091
CT,CS,Maureen Joseph,2206
IRM,CS,Sharon Brereton,2250
STAS,CS,Ruth Davis,7723
PRM,CS,Jimmy Miller,3360
WHA,CS,Marianna Spangler,7747
GYI,FS,Miranda Burns,622
GCJ,Contractor,Carol Jones,2657
ECA,Contractor,Justin Cates,8553
OFM,FS,Nathan Borovec,1161
OES,Contractor,Wm Brown,2731
ENR,Contractor,Bertha Street,4248
IRM,CS,Benjamin Davis,4467
F,Contractor,Adam Lyons,588
OIG,Contractor,Erica Lambert,4323
INL,CS,Floyd Ruiz,1602
DGHR,Contractor,Angela Austin,387
OIG,CS,Candy Tretheway,3763
EAP,Contractor,Ronald Rhoads,6168
H,CS,Guy Keithley,2334
OFM,CS,Virginia Ochoa,3322
OES,FS,Michael Casey,518
TIP,CS,David Back,2413
AF,FS,Christopher Ventura,34258
S/GAC,CS,Jamila Robinson,5034
OES,CS,Donald Acevedo,3433
PRI,FS,Viola Cruz,1488
L,Contractor,Abram Dixon,1277
IO,Contractor,Maria Ramos,3779
PRM,FS,Quinton Maldonado,366
EAP,CS,June Edwards,9531
INR,Contractor,Danielle Durr,507
DGHR,CS,Kenneth Hosea,4999
QDDR,CS,Matthew Jenkins,2782
ECA,CS,Abigail Belcher,7946
STAS,CS,Mohamed Campos,8165
A,FS,Merle Lee,17230
QDDR,Contractor,Donald Scamehorn,3527
IO,CS,Joseph Toyoshima,875
A/OPR/ALS,FS,Frances Fischer,45286
A,CS,Robert Choice,8824
H,FS,Cody Bower,3610
IRM,CS,Robert Griswold,990
OIG,Contractor,James Pitt,3752
IO,CS,Thomas Coronado,4464
PM,FS,Patricia Cone,4214
FSI,FS,Sally Thomas,973
OIG,FS,Michael Larimore,121
OBO,Contractor,Karen Oakes,4084
IRM,CS,Melissa Conley,791
WHA,Contractor,Walter Pawlak,7365
S/P,CS,Juan Mcjunkin,1509
CGFS,CS,William Larson,1856
FSI,CS,Kimberly Lowell,1417
F,FS,Brent Phillips,1201
INR,FS,Linda Hatfield,2965
GCJ,FS,Daniel Garmany,4830
STAS,FS,Helen Fenster,39312
IIP,FS,Ira Spivey,580
MED,Contractor,Gloria Moody,708
EUR,CS,Javier Johnson,1579
OFM,Contractor,Rafael Culp,1174
WHA,CS,Christopher Akins,5208
CT,CS,Meghan Mccabe,3415
IRM,Contractor,Tamela Poque,832
SCA,FS,Ashleigh Gonzalez,37206
S/CPR,FS,Grace Clements,4478
CSO,Contractor,Franklin Meyers,4710
AVC,FS,Margaret Meza,15196
EAP,CS,Rosendo Clerc,6794
L,CS,Beverly Smith,1902
OBO,FS,Rosa Evans,1944
ECA,Contractor,Heather Owens,9483
DS,CS,Carolyn Steward,1388
GEC,CS,Eleanor Conway,178
S/GWI,CS,Betty Huneycutt,4461
PPR,FS,Sharon Benton,4903
QDDR,CS,Anthony Fry,2940
PRM,FS,James Parker,1495
DRL,CS,Val Giese,1816
PRI,Contractor,Lynn Stewart,606
CIO,Contractor,Milagros Boon,4910
PRI,CS,Joseph Uhl,2462
GEC,Contractor,Paula Foster,1992
CA,FS,Brittany Tomopoulos,28101
INL,FS,Iesha Wilson,2764
FSI,FS,Danielle Davies,3089
FSI,CS,Alan Lard,226
MED,CS,Kiara Lambert,3402
USUN,Contractor,Gerardo Stoops,2887
GCJ,CS,Salvador Mason,2209
MED,FS,Lonnie Nesmith,3406
S/CPR,FS,James Mimms,2016
QDDR,CS,Dorothy Taylor,1791
DS,Contractor,Betty Cox,625
DGHR,Contractor,Paul Albert,1046
OFM,CS,Freda Wade,658
S/ES,CS,Michael Cates,1210
EUR,CS,Linda Maulden,3678
PRI,FS,Kathryn Smith,2222
DRL,FS,Sherry Bowers,1510
S/ES,Contractor,Maria Phillips,4492
F,CS,Debra Delisa,3197
EAP,Contractor,Ruth Gordon,5037
OES,Contractor,Barbara Walker,3362
DRL,CS,Maureen Forrest,1205
ECA,FS,Elisa Cooke,27857
CSO,CS,Frank Franco,3906
INR,CS,Vicki Verrett,4687
L,CS,Irene Wiggen,4471
CIO,FS,Elizabeth Timms,3130
WHA,Contractor,Janet Passmore,9980
PPR,Contractor,Erin Quear,404
NEA,Contractor,Lynn Bean,8500
CT,Contractor,Clyde Kearns,1426
IO,FS,Irene Wilkerson,1645
F,Contractor,Olga Wilmoth,312
DGHR,FS,Pam Roberts,1372
EB,FS,Thurman Edge,1488
OFM,Contractor,Frances Cox,1465
EAP,CS,Oscar Gunn,9717
PRI,CS,David Snyder,3830
CT,CS,Marvin Gowins,319
IIP,FS,Virginia Emerson,751
EB,CS,Joseph Mahon,354
STAS,Contractor,Anthony Porterfield,9217
S/GAC,Contractor,Barry Pedrick,8936
A,CS,Lottie Hirkaler,6437
TIP,FS,Dolores Herrera,4199
FSI,CS,Julie Thompson,1569
DGHR,FS,Kerri Lucero,4349
PA,FS,Roy Stewart,46521
CIO,Contractor,Megan Faulkner,2982
A/OPR/ALS,Contractor,Dan Lipscomb,8682
INL,CS,Jean Benz,4625
CT,CS,Katherine Reed,1864
IIP,Contractor,Janice Albright,1477
INL,Contractor,Michael Hill,450
IIP,Contractor,Rebecca Sanders,3036
PA,Contractor,Mary Dancer,6388
AF,FS,Casey Roemmich,12379
EAP,CS,Beverly Miller,7351
S/P,FS,Christina Moody,497
H,CS,Frederick Harvey,999
OIG,CS,Annie Houpe,3151
USUN,Contractor,Douglas Lankford,924
AVC,FS,Keven White,32451
OBO,Contractor,Leslie Huey,969
DGHR,FS,Ruth Outlaw,854
INL,Contractor,Robert Marvin,3570
CSO,CS,Heather Davis,3303
INR,CS,Phyllis Barney,4855
OFM,Contractor,Lester Adams,3957
S/ES,FS,Kimberley Daniels,3219
QDDR,CS,Joan Thieman,3633
L,CS,Tenesha Jones,4582
A/OPR/ALS,FS,David Page,33229
IIP,Contractor,Susana Hyman,4326
CIO,CS,Donald Mcdaries,3554
CT,Contractor,Josefina Cannon,4022
ECA,FS,Cecilia Cates,37495
GEC,FS,Janet Chatham,280
OFM,CS,Scott Christie,2475
IIP,CS,Robert Smtih,1102
GYI,Contractor,John Johnson,2070
GCJ,FS,Jean Berry,3489
INR,FS,John Francis,4803
MED,Contractor,Robert Ethington,637
SCA,Contractor,Ursula Angelini,5179
L,Contractor,Laurie Vera,4583
SCA,FS,Ruth Ruggiero,18258
DGHR,Contractor,Kelly Jacobs,344
S/CPR,Contractor,Robert Griswell,230
TIP,FS,William Morris,801
EUR,FS,Mildred Garcia,448
PA,Contractor,Oscar James,8729
OIG,FS,Robyn Cervantes,635
DRL,CS,Carolyn Ward,586
H,Contractor,Denise Medina,2546
ECA,Contractor,Katrina Nichols,9094
PM,FS,Erich Cobb,1734
DGHR,FS,Shavon Vierk,2724
IO,FS,Linda Eckhard,1641
S/ES,CS,Frances Drake,2163
OFM,Contractor,Michael Reyes,4944
TIP,CS,Brian Maung,846
ENR,FS,Jewell Barton,3324
S/ES,FS,John Paul,653
WHA,CS,Matthew Suarez,7745
INL,Contractor,Andrew Weeks,3088
IRM,CS,James Walker,1103
ENR,FS,Edward Leddy,4323
S/ES,Contractor,Jesus Batres,1926
S/CPR,FS,Alecia Powell,2622
OES,CS,Dorothy Raynor,879
GYI,CS,Matthew Krings,390
FSI,CS,Robert Fernandez,4103
DGHR,Contractor,James Mcevoy,4288
H,FS,Anna Pratt,816
H,CS,Richard Walker,132
INL,Contractor,John Gordon,983
SCA,Contractor,Stephanie Tirk,7454
H,FS,Woodrow Skinner,1349
TIP,CS,Mary Medina,3821
SCA,Contractor,Frank Hadden,8854
DRL,Contractor,John Pease,463
CT,FS,Paul Isip,3265
S/GAC,CS,Bonita Tyler,7669
S/GWI,Contractor,Matthew Gooding,3709
IRM,Contractor,Glen Cox,4876
TIP,FS,Gina Kuntz,4930
S/GAC,Contractor,Melissa Fewell,8808
ISN,Contractor,James Jones,3136
S/GWI,Contractor,Felicia Poarch,4571
SCA,CS,Abel Liles,8440
A,FS,Todd Dehart,27259
GYI,Contractor,Samuel Correa,2618
CSO,Contractor,Stephen Oliver,3771
EAP,CS,Wendy Vaughan,9522
GYI,CS,Marcus Martin,4453
GYI,FS,Robert Heming,3109
